Tile/Artist,Price,Is_On_Sale,Vinyl_Cover
Vyacheslav Dobrynin – Blue Mist,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/blue-mist-300x300.jpg
Jaak Joala – Love Itself,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/love-itself-300x300.jpg
Center – Made In Paris,28 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/centre-300x300.jpeg
Diana Ross – Diana Ross,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/08/diana-ross-300x300.jpg
ვოკალურ – ინსტრუმენტალური ტრიო „შაშვები“,38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-5158544-1386159835-7044-300x300.jpg
სულიკო კოროშინაძე – სიმღერაა მთელი ჩემი ქონება,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-5871697-1405099173-4929-300x300.jpg
გიორგი კალანდაძის სიმღერები,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-7121414-1600684871-4122-300x300.jpg
მამია ხატელიშვილი – მამია ხატელიშვილის სიმღერები,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-7119780-1434149642-5819-300x300.jpg
"Kino, Aria, Nautilus Pompilius, Mashina Vremeni – Hit Parade",31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/xit-300x300.jpg
Elton John – A Single Man (USSR),35 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/04/elton-300x300.jpg
"ირმა სოხაძე, მზიური – ზღაპარ ქალაქი 2",38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/cover-300x300.jpg
ბავშვთა საესტრადო ანსამბლი “ია”,84 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/ia-300x300.jpg
ივერია / ნატვრის ხე,52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/09/iveria-300x300.jpg
არჩილ კერესელიძე,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/06/არჩილ-კერესელიძე-300x300.jpg
Elton John – Leather Jackets,49 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/06/eltona-300x300.jpg
Chicago – Chicago 18,38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-1218127-1296491360-300x300.jpg
წინანდალი – კახური ხალხური სიმღერები,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/tsinandali-300x300.jpg
გლახო ზახაროვი – ქართული ხალხური სიმღერები,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/zakharovi-1-300x300.jpg
ΕΛΛΑΔΑ – ΜΟΝΟ ΕΣΥ (Incl. Sirtaki From Zorba The Greek),10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/elada-300x300.jpg
Nautilus Pompilius / Brigada S,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/brigada-300x300.jpg
ნანი ბრეგვაძე,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/11/R-18203524-1619079953-9264-300x300.jpg
Tender May – Macquerade,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/group-300x300.jpg
Alexander Rosenbaum – Draw Me a House…,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/aleksandr-300x300.jpg
Quadro – Night Dreams,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/quadsr-300x300.jpeg
ირმა სოხაძე – ზღაპარ ქალაქი,52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/irma-soxadze-300x300.jpg
გიული ჩოხელი – მე დავბრუნდები,66 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/giuli-300x300.jpg
UB40 – Rat In The Kitchen,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/08/b-40-300x300.jpg
Bon Jovi – New Jersey,38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/bon-jovi-300x300.jpg
Elvis Presley – Rock-And-Roll,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/elvis-300x300.jpg
Mill (Songs of Igor Nikolaev),10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-1810552-1508936447-2867-300x300.jpg
Maki – Odessa,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-3734922-1343987510-7157-300x300.jpg
Ekaterina Surzhikova – Wild Rose,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-3546738-1334753971-300x300.jpg
Joker – Senya Son Group,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-2802905-1413716237-4113-300x300.jpg
Electroclub-2 – Songs of David Tukhmanov,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-1453963-1322840280-300x300.jpg
Vladimir Presnyakov (Senior) And the “Province” Group – Province,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-3924475-1580979799-7129-300x300.jpg
August – Strike Back,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-662063-1144775473-300x300.jpg
Alexander Serov – Madonna,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-2781007-1300736794-300x300.jpg
ცისფერი ტრიო – ქალაქური სიმღერები,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/Tsisferi-trio-cover1-300x300.jpg
DDT – I Got This Role,56 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/04/R-2573097-1308471724-1-300x300.jpg
ოთარ რამიშვილი – ოთარ რამიშვილის სიმღერები,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/Otar-Ramishvili-Cover-300x300.jpg
Via 75 – Starfall / ვარსკვლავთცვენა,38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/09/starfall-300x300.jpg
ნუგზარ ერგემლიძე – ავტოპორტრეტი,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/10/ნუგზარ-ერგემლიძე-300x300.jpg
